emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,fx,fy,fz,x,y,z,rx,ry,rz,t
-2,-1,-9,-4,-4,-1,-11,6,-0.045983388683473646,0.9919299201519056,0.5582441800741135,227.14935302734375,674.247802734375,148.1781463623047,87.22313690185547,175.8880157470703,103.53128814697266,0.21564912796020508
0,-3,-5,-3,0,-3,0,-3,-0.045983388683473646,0.9919299201519056,0.5582441800741135,227.14935302734375,674.247802734375,148.1781463623047,87.22313690185547,175.8880157470703,103.53128814697266,0.21665191650390625
-5,-7,0,-9,-1,-2,10,-7,-0.045983388683473646,0.9919299201519056,0.5582441800741135,227.14935302734375,674.247802734375,148.1781463623047,87.22313690185547,175.8880157470703,103.53128814697266,0.21665191650390625
7,3,0,-5,2,0,0,-6,-0.045983388683473646,0.9919299201519056,0.5582441800741135,227.14935302734375,674.247802734375,148.1781463623047,87.22313690185547,175.8880157470703,103.53128814697266,0.21665191650390625
-1,-3,1,6,-4,-3,-6,8,-0.03438115805951779,1.042270773966909,0.560638154745025,227.14935302734375,674.247802734375,148.1781463623047,87.22313690185547,175.8880157470703,103.53128814697266,0.2216649055480957
-4,5,-12,-10,-2,0,-5,-5,-0.03438115805951779,1.042270773966909,0.560638154745025,227.14935302734375,674.247802734375,148.1781463623047,87.22313690185547,175.8880157470703,103.53128814697266,0.2221684455871582
-6,-3,1,14,5,0,9,-6,-0.07311142173132039,1.119115610641291,0.5785103880246187,227.14935302734375,674.247802734375,148.1781463623047,87.22313690185547,175.8880157470703,103.53128814697266,0.22417092323303223
-1,3,6,-2,3,2,2,2,-0.07311142173132039,1.119115610641291,0.5785103880246187,227.14935302734375,674.247802734375,148.1781463623047,87.22313690185547,175.8880157470703,103.53128814697266,0.2251729965209961
3,2,-5,9,-1,-1,-7,3,-0.10820670885020137,1.2606521219975655,0.5519251465523577,227.14935302734375,674.247802734375,148.1781463623047,87.22313690185547,175.8880157470703,103.53128814697266,0.2351996898651123
-2,-3,2,-2,-5,-3,-3,6,-0.10820670885020137,1.2606521219975655,0.5519251465523577,227.14935302734375,674.247802734375,148.1781463623047,87.22313690185547,175.8880157470703,103.53128814697266,0.2351996898651123
1,-4,-14,-16,-4,-1,5,-14,-0.10820670885020137,1.2606521219975655,0.5519251465523577,227.14935302734375,674.247802734375,148.1781463623047,87.22313690185547,175.8880157470703,103.53128814697266,0.2351996898651123
0,3,10,9,2,0,-2,0,-0.10820670885020137,1.2606521219975655,0.5519251465523577,227.14935302734375,674.247802734375,148.1781463623047,87.22313690185547,175.8880157470703,103.53128814697266,0.23620176315307617
1,-1,-10,-6,-3,0,-8,3,-0.16633759669925566,1.3731157418956355,0.5878365400863694,227.14796447753906,674.248291015625,148.1781463623047,87.22325897216797,175.8880157470703,103.53128814697266,0.25023889541625977
-1,-4,-2,4,-1,-1,0,4,-0.16633759669925566,1.3731157418956355,0.5878365400863694,227.14796447753906,674.248291015625,148.1781463623047,87.22325897216797,175.8880157470703,103.53128814697266,0.25124096870422363
-4,0,1,-11,-3,-2,4,-18,-0.18884097856692347,1.4394285744657331,0.6434399033192101,227.14378356933594,674.2496948242188,148.17962646484375,87.22323608398438,175.8878936767578,103.5309066772461,0.27430152893066406
-1,-1,1,2,1,-1,-4,0,-0.18884097856692347,1.4394285744657331,0.6434399033192101,227.14378356933594,674.2496948242188,148.17962646484375,87.22323608398438,175.8878936767578,103.5309066772461,0.27530431747436523
-1,-2,0,-2,-1,0,-3,4,-0.18884097856692347,1.4394285744657331,0.6434399033192101,227.1439208984375,674.2501220703125,148.1803741455078,87.22285461425781,175.88778686523438,103.53053283691406,0.27730894088745117
-2,0,3,2,0,2,1,1,-0.18884097856692347,1.4394285744657331,0.6434399033192101,227.1439208984375,674.2501220703125,148.1803741455078,87.22285461425781,175.88778686523438,103.53053283691406,0.27730894088745117
0,-1,5,-1,2,1,5,-2,-0.19240062508782094,1.5287356547730637,0.7133009804040558,227.14251708984375,674.2506103515625,148.1818389892578,87.22260284423828,175.88766479492188,103.5301513671875,0.29636716842651367
2,0,-5,-5,-2,-1,-2,8,-0.19240062508782094,1.5287356547730637,0.7133009804040558,227.14251708984375,674.2506103515625,148.1818389892578,87.22260284423828,175.88766479492188,103.5301513671875,0.2973668575286865
